gstin,state_code,gst_compliance_rate,avg_days_late_filing,monthly_turnover,turnover_growth_mom,unique_buyers,buyer_concentration_hhi,upi_inflow_monthly,upi_inflow_cov,eway_bill_count,eway_growth_mom,epfo_compliant,bounce_rate,promoter_cibil,circular_flag,itc_efficiency,gross_margin_proxy,profile,default,gst_upi_correlation,working_capital_proxy
06OSSPW2079NZ1V,6,0.9949669704509202,1.9398511471318869,5441171.978289221,1.0112444718819507,3,0.8167616866974329,5256561.493073362,0.07865638439623812,8,0.7450923651104016,1,0.008919305408088114,780,1,0.8901189986126068,0.2714712766955487,fraudster,1,1.0351200086709007,28.982146754674513
27NRWPN6704CZ1V,27,0.8196583615132501,5.016636926935878,2949539.521892447,0.2827352286811781,7,0.4580050258728636,2677860.4537733034,0.5624433032406093,21,0.11363868375210662,1,0.02594445991909545,731,0,0.8890716268913066,0.12156777595242883,seasonal,1,1.1014537810349034,27.236730688611026
06PYHPC1624JZ1V,6,0.973713241395664,0.11013883044919992,2794029.8253833354,0.10044850914055004,46,0.2088750239143577,2384986.3964342647,0.2105629751436698,179,0.16109953715999392,1,0.024250899376202062,804,0,0.8128104545244083,0.2755938224044644,healthy,0,1.1715076570502128,25.60802724545415
06FLTPW4322DZ1V,6,0.9356982429468664,1.9042324233120886,1582963.1803866932,0.16240541549674356,50,0.15639743563382363,1442426.627377907,0.15838223469956145,98,0.1622913062872749,1,0.024130061783076036,806,0,0.8324047160589608,0.27476339045924764,healthy,0,1.097430642461349,27.336579496919402
09CFKPH9961KZ1V,9,0.9736473174619072,0.1549720713439231,1007036.8696105491,0.10794315577183179,28,0.12948624688850088,951337.6247135014,0.19820395253378198,114,0.09811003734673569,1,0.009612895923404597,768,0,0.8464204323632901,0.27598468364963763,healthy,0,1.058548346507184,28.34069893830437
09YYYPM8725QZ1V,9,0.4267009533948039,34.289723793624646,582904.2833285977,-0.1034081535095755,4,0.6875198654785536,388691.93770229793,0.7453291416225495,9,-0.08529652133128579,0,0.13796333761402246,578,0,0.5696934647154366,0.03420616094430622,stressed,1,1.4996562233175221,20.00458473985081
29EGUPC7274QZ1V,29,0.5119946219097823,40.61017668513702,662689.176752215,-0.21865239410969012,2,0.6527579475609089,495839.7333114008,0.7939087136092148,5,-0.14667916328952532,0,0.3285024716182551,661,0,0.5637109048098845,0.08276303549017879,stressed,1,1.3364987358446085,22.446710345027984
09HDPPH0954KZ1V,9,0.9941412393349214,2.469235073707807,212610.4613999549,0.021006721820134355,2,0.3144161150632532,210333.9719417688,0.2300374583221256,26,0.14150359480648222,0,0.036508367328440074,668,0,0.8281460544812057,0.18927305238598308,thin_file,0,1.0108232133742823,29.678780228894247
29LMBPE5263EZ1V,29,0.972850115468847,0.8002909345691183,5149964.034245551,0.7930141027920006,3,0.8606968417103122,5180380.385026278,0.07355988612405556,5,0.42135452686948344,1,0.009317434578153507,799,1,0.8574988269958607,0.1872810828136222,fraudster,1,0.9941285487705411,30.177183863295756
09DIYPR8819LZ1V,9,0.9589453989484698,1.8398750546621372,3478290.6369629293,0.0863033119971316,42,0.17996738127293777,3051912.8867802727,0.13985406729336017,50,0.18162050699817234,1,0.03693615753632832,812,0,0.8020618331017019,0.15974020165916802,healthy,0,1.139708361935743,26.322523376985988
09EHBPR2457WZ1V,9,0.5296351526847684,28.858677853738417,1058394.3221128192,-0.1587954215099507,3,0.7646767776473145,549504.5977148621,1.1174337302053892,25,-0.18890154527105754,0,0.27668309455220463,689,0,0.4417563408273961,0.020338784798263915,stressed,0,1.5,20.0
09GLCPB0526BZ1V,9,0.8441927449527356,0.052787649011990734,1171308.6579069584,-0.031213717717554462,13,0.4669893822502727,1276886.149126056,0.4352199929851302,59,0.07703586282665342,0,0.09128315980887346,767,0,0.7185823322659406,0.1566246563706284,seasonal,0,0.9173164410222803,32.70409060429273
09CLVPQ2737MZ1V,9,0.8194164522036813,2.568166919643255,1243959.1820786437,0.056047544455947625,10,0.3276242913536994,930288.7267073115,0.5658337740886991,38,0.013655447241816259,1,0.06482091774485559,717,0,0.7032986197006994,0.13678671463576195,thin_file,0,1.337175380466606,22.43535174087002
06QFDPX5379XZ1V,6,0.930973893107424,1.4387692948684054,506010.5132875658,0.20336290458051554,14,0.3035472392407941,407478.6153894681,0.5256870036452069,91,-0.05253858062655048,0,0.10018898898195147,692,0,0.7345171588098544,0.1619581521930097,seasonal,0,1.241808757998063,24.158309245912722
06RYNPT4131TZ1V,6,0.9013094456588334,1.9906121160501318,1547751.060852956,0.1941605476204183,47,0.10081278188543583,1508108.879931131,0.11706993361572877,97,0.19953113777689213,1,0.02510975051656213,833,0,0.8893077525980065,0.1307322363821484,healthy,0,1.0262860204918596,29.231617113543212
06SXSPR0314FZ1V,6,0.9677547383181595,0.9913226880701766,7092303.241878659,1.0206891509269216,3,0.8167979002778318,7369122.36074982,0.05774137209198589,7,0.9950897159087987,1,0.002800784625287043,726,1,0.9371935383419162,0.19726520352189159,fraudster,1,0.9624352663289208,31.170927593323693
29PZDPO9113ZZ1V,29,0.9359029183664732,2.5188242246479104,563840.0158013073,0.1603580221476701,22,0.23744530071255282,585817.863843855,0.7208732212505287,92,0.39978120417696666,1,0.12202884247174259,654,0,0.7224227296676392,0.15716060146516334,seasonal,0,0.9624834792535352,31.16936617267118
19JDAPM7828PZ1V,19,0.7623471524376507,2.5203503987421216,908346.1918382115,0.04252607854064091,4,0.4396850311082986,1018466.8658889855,0.4889494030531194,34,0.011699079961411363,1,0.010613001930901944,689,0,0.7231953364662389,0.102499868886738,thin_file,1,0.8918760366792559,33.63696160253363
19MSAPI3937FZ1V,19,0.9738546053396964,0.1913836687607936,2426337.193082869,0.09241481855901479,34,0.12262865940956426,2777874.785926934,0.22855548269598558,169,0.15765142366902496,1,0.048830881865750464,727,0,0.8565802673686458,0.24829442695244897,healthy,0,0.8734508860424527,34.346521915992305
06INPPA9373MZ1V,6,0.9627900389490908,0.24527709584661572,4469030.221248465,0.18813086007977198,29,0.08855091437968093,4169888.0612086104,0.2612402559586122,143,0.16223895355754878,1,0.009226050967818866,742,0,0.8314023985005066,0.17927553644662111,healthy,0,1.071738654766946,27.991898833324832
29ODMPA3502OZ1V,29,0.9622614979115839,1.5360649085081648,1088498.2098001295,0.5737972579847044,3,0.8130274477341792,1119000.8595077682,0.08046993209427097,15,1.0509088190414646,1,8.96338665105767e-05,746,1,0.915160254468193,0.29096723950346726,fraudster,1,0.972741174013882,30.840680749853675
27UMZPZ7151AZ1V,27,0.9666327250452525,1.1853172957708933,4464664.935934941,1.1565903675218352,1,0.9495149272108221,4567594.496243036,0.023708261554742364,7,0.8397357352029529,1,0.009339829078036297,736,1,0.9706194946588053,0.20146839763790644,fraudster,1,0.9774652587061401,30.69162789448974
19UNNPM9021ZZ1V,19,0.9710031334789724,0.12229236209537242,4425315.821369652,1.0506746632360866,2,0.8197505937363377,4234846.620633292,0.03229052163146133,14,1.0115200891114449,1,0.01447990768289476,726,1,0.9234523099577944,0.24364528081852646,fraudster,1,1.044976646806603,28.708775542188928
06BOTPO3749PZ1V,6,0.9669292985970787,0.44834455349380353,3513769.60077318,0.5842998578928192,3,0.915881126217331,3618539.9509808524,0.08292904489743215,8,0.691600771639034,1,0.019775208117885235,728,1,0.9272010674117541,0.22988006035565894,fraudster,1,0.9710462364304495,30.894512407853536
19JZIPD7609EZ1V,19,0.8160072457802564,3.849982398411505,1937659.273537176,-0.18260784194374516,22,0.37201303640046757,2037547.0770530466,0.761158088646977,38,-0.1950519168633611,0,0.09702170418326994,703,0,0.8344505000148427,0.10558468026284377,seasonal,0,0.9509764438619299,31.54652272791273
06CRJPX3801RZ1V,6,0.9751423317531303,2.824003178360705,3641792.380920527,0.10451058979991407,45,0.21134536415346117,3396590.6197017273,0.1664345044123465,129,0.15512126270026105,1,0.03826581497626932,788,0,0.939410522577373,0.15276838544899352,healthy,0,1.0721905547864736,27.980100986782606
06BJVPE6401WZ1V,6,0.9457475906929239,0.9551578278932097,1877593.2719465757,0.2788750288038577,13,0.35766221933771486,1553370.2907480916,0.6914430007736089,58,0.18939032467397737,0,0.11473220230179584,711,0,0.8522423030330948,0.21561590323159108,seasonal,0,1.2087222751262616,24.819597203887252
